N,Mint,City,Group
382,Amphipolis,Gamla,Hellenistic
383,Uncertain,Gamla,Unknown
384,Uncertain,Gamla,Unknown
385,Uncertain,Gamla,Unknown
386,Uncertain,Gamla,Unknown
387,Uncertain,Gamla,Unknown
388,Uncertain,Gamla,Unknown
389,Uncertain,Gamla,Unknown
390,Uncertain,Gamla,Unknown
391,Aradus,Gamla,Phoenician
392,Marathus,Gamla,Phoenician
393,Berytus,Gamla,Phoenician
394,Sidon,Gamla,Phoenician
395,Sidon,Gamla,Phoenician
396,Sidon,Gamla,Phoenician
397,Sidon,Gamla,Phoenician
398,Sidon,Gamla,Phoenician
399,Sidon,Gamla,Phoenician
400,Sidon,Gamla,Phoenician
401,Sidon,Gamla,Phoenician
402,Sidon,Gamla,Phoenician
403,Sidon,Gamla,Phoenician
404,Sidon,Gamla,Phoenician
405,Sidon,Gamla,Phoenician
406,Sidon,Gamla,Phoenician
407,Sidon,Gamla,Phoenician
408,Sidon,Gamla,Phoenician
409,Sidon,Gamla,Phoenician
410,Sidon,Gamla,Phoenician
411,Sidon,Gamla,Phoenician
412,Sidon,Gamla,Phoenician
413,Sidon,Gamla,Phoenician
414,Sidon,Gamla,Phoenician
415,Sidon,Gamla,Phoenician
416,Sidon,Gamla,Phoenician
417,Sidon,Gamla,Phoenician
418,Sidon,Gamla,Phoenician
419,Sidon,Gamla,Phoenician
420,Sidon,Gamla,Phoenician
421,Sidon,Gamla,Phoenician
422,Sidon,Gamla,Phoenician
423,Sidon,Gamla,Phoenician
424,Sidon,Gamla,Phoenician
425,Sidon,Gamla,Phoenician
426,Sidon,Gamla,Phoenician
427,Sidon,Gamla,Phoenician
428,Sidon,Gamla,Phoenician
429,Sidon,Gamla,Phoenician
430,Sidon,Gamla,Phoenician
431,Sidon,Gamla,Phoenician
432,Sidon,Gamla,Phoenician
433,Sidon,Gamla,Phoenician
434,Sidon,Gamla,Phoenician
435,Sidon,Gamla,Phoenician
436,Sidon,Gamla,Phoenician
437,Sidon,Gamla,Phoenician
438,Sidon,Gamla,Phoenician
439,Sidon,Gamla,Phoenician
440,Sidon,Gamla,Phoenician
441,Sidon,Gamla,Phoenician
442,Sidon,Gamla,Phoenician
443,Sidon,Gamla,Phoenician
444,Sidon,Gamla,Phoenician
445,Sidon,Gamla,Phoenician
446,Sidon,Gamla,Phoenician
447,Sidon,Gamla,Phoenician
448,Sidon,Gamla,Phoenician
449,Sidon,Gamla,Phoenician
450,Sidon,Gamla,Phoenician
451,Sidon,Gamla,Phoenician
452,Sidon,Gamla,Phoenician
453,Sidon,Gamla,Phoenician
454,Sidon,Gamla,Phoenician
455,Sidon,Gamla,Phoenician
456,Sidon,Gamla,Phoenician
457,Sidon,Gamla,Phoenician
458,Sidon,Gamla,Phoenician
459,Sidon,Gamla,Phoenician
460,Sidon,Gamla,Phoenician
461,Sidon,Gamla,Phoenician
462,Sidon,Gamla,Phoenician
463,Sidon,Gamla,Phoenician
464,Sidon,Gamla,Phoenician
465,Sidon,Gamla,Phoenician
466,Sidon,Gamla,Phoenician
467,Sidon,Gamla,Phoenician
468,Sidon,Gamla,Phoenician
469,Sidon,Gamla,Phoenician
470,Sidon,Gamla,Phoenician
471,Sidon,Gamla,Phoenician
472,Sidon,Gamla,Phoenician
473,Sidon,Gamla,Phoenician
474,Sidon,Gamla,Phoenician
475,Sidon,Gamla,Phoenician
476,Sidon,Gamla,Phoenician
477,Sidon,Gamla,Phoenician
478,Sidon,Gamla,Phoenician
479,Sidon,Gamla,Phoenician
480,Sidon,Gamla,Phoenician
481,Sidon,Gamla,Phoenician
482,Sidon,Gamla,Phoenician
483,Sidon,Gamla,Phoenician
484,Sidon,Gamla,Phoenician
485,Sidon,Gamla,Phoenician
486,Sidon,Gamla,Phoenician
487,Sidon,Gamla,Phoenician
488,Sidon,Gamla,Phoenician
489,Sidon,Gamla,Phoenician
490,Sidon,Gamla,Phoenician
491,Sidon,Gamla,Phoenician
492,Sidon,Gamla,Phoenician
493,Sidon,Gamla,Phoenician
494,Sidon,Gamla,Phoenician
495,Sidon,Gamla,Phoenician
496,Sidon,Gamla,Phoenician
497,Sidon,Gamla,Phoenician
498,Sidon,Gamla,Phoenician
499,Sidon,Gamla,Phoenician
500,Sidon,Gamla,Phoenician
501,Sidon,Gamla,Phoenician
502,Sidon,Gamla,Phoenician
503,Sidon,Gamla,Phoenician
504,Sidon,Gamla,Phoenician
505,Sidon,Gamla,Phoenician
506,Sidon,Gamla,Phoenician
507,Sidon,Gamla,Phoenician
508,Sidon,Gamla,Phoenician
509,Sidon,Gamla,Phoenician
510,Sidon,Gamla,Phoenician
511,Sidon,Gamla,Phoenician
512,Sidon,Gamla,Phoenician
513,Sidon,Gamla,Phoenician
514,Sidon,Gamla,Phoenician
515,Sidon,Gamla,Phoenician
516,Sidon,Gamla,Phoenician
517,Sidon,Gamla,Phoenician
518,Sidon,Gamla,Phoenician
519,Sidon,Gamla,Phoenician
520,Sidon,Gamla,Phoenician
521,Sidon,Gamla,Phoenician
522,Sidon,Gamla,Phoenician
523,Sidon,Gamla,Phoenician
524,Sidon,Gamla,Phoenician
525,Sidon,Gamla,Phoenician
526,Sidon,Gamla,Phoenician
527,Tyre,Gamla,Phoenician
528,Tyre,Gamla,Phoenician
529,Tyre,Gamla,Phoenician
530,Tyre,Gamla,Phoenician
531,Tyre,Gamla,Phoenician
532,Tyre,Gamla,Phoenician
533,Tyre,Gamla,Phoenician
534,Tyre,Gamla,Phoenician
535,Tyre,Gamla,Phoenician
536,Tyre,Gamla,Phoenician
537,Tyre,Gamla,Phoenician
538,Tyre,Gamla,Phoenician
539,Tyre,Gamla,Phoenician
540,Tyre,Gamla,Phoenician
541,Tyre,Gamla,Phoenician
542,Tyre,Gamla,Phoenician
543,Tyre,Gamla,Phoenician
544,Tyre,Gamla,Phoenician
545,Tyre,Gamla,Phoenician
546,Tyre,Gamla,Phoenician
547,Tyre,Gamla,Phoenician
548,Tyre,Gamla,Phoenician
549,Tyre,Gamla,Phoenician
550,Tyre,Gamla,Phoenician
551,Tyre,Gamla,Phoenician
552,Tyre,Gamla,Phoenician
553,Tyre,Gamla,Phoenician
554,Tyre,Gamla,Phoenician
555,Tyre,Gamla,Phoenician
556,Tyre,Gamla,Phoenician
557,Tyre,Gamla,Phoenician
558,Tyre,Gamla,Phoenician
559,Tyre,Gamla,Phoenician
560,Tyre,Gamla,Phoenician
561,Tyre,Gamla,Phoenician
562,Tyre,Gamla,Phoenician
563,Tyre,Gamla,Phoenician
564,Tyre,Gamla,Phoenician
565,Tyre,Gamla,Phoenician
566,Tyre,Gamla,Phoenician
567,Tyre,Gamla,Phoenician
568,Tyre,Gamla,Phoenician
569,Tyre,Gamla,Phoenician
570,Tyre,Gamla,Phoenician
571,Tyre,Gamla,Phoenician
572,Tyre,Gamla,Phoenician
573,Tyre,Gamla,Phoenician
574,Tyre,Gamla,Phoenician
575,Tyre,Gamla,Phoenician
576,Tyre,Gamla,Phoenician
577,Tyre,Gamla,Phoenician
578,Tyre,Gamla,Phoenician
579,Tyre,Gamla,Phoenician
580,Tyre,Gamla,Phoenician
581,Tyre,Gamla,Phoenician
582,Tyre,Gamla,Phoenician
583,Tyre,Gamla,Phoenician
584,Tyre,Gamla,Phoenician
585,Tyre,Gamla,Phoenician
586,Tyre,Gamla,Phoenician
587,Tyre,Gamla,Phoenician
588,Tyre,Gamla,Phoenician
589,Tyre,Gamla,Phoenician
590,Tyre,Gamla,Phoenician
591,Tyre,Gamla,Phoenician
592,Tyre,Gamla,Phoenician
593,Tyre,Gamla,Phoenician
594,Tyre,Gamla,Phoenician
595,Tyre,Gamla,Phoenician
596,Tyre,Gamla,Phoenician
597,Tyre,Gamla,Phoenician
598,Tyre,Gamla,Phoenician
599,Tyre,Gamla,Phoenician
600,Tyre,Gamla,Phoenician
601,Tyre,Gamla,Phoenician
602,Tyre,Gamla,Phoenician
603,Tyre,Gamla,Phoenician
604,Tyre,Gamla,Phoenician
605,Tyre,Gamla,Phoenician
606,Tyre,Gamla,Phoenician
607,Tyre,Gamla,Phoenician
608,Tyre,Gamla,Phoenician
609,Tyre,Gamla,Phoenician
610,Tyre,Gamla,Phoenician
611,Tyre,Gamla,Phoenician
612,Tyre,Gamla,Phoenician
613,Tyre,Gamla,Phoenician
614,Tyre,Gamla,Phoenician
615,Tyre,Gamla,Phoenician
616,Tyre,Gamla,Phoenician
617,Tyre,Gamla,Phoenician
618,Tyre,Gamla,Phoenician
619,Tyre,Gamla,Phoenician
620,Tyre,Gamla,Phoenician
621,Tyre,Gamla,Phoenician
622,Tyre,Gamla,Phoenician
623,Tyre,Gamla,Phoenician
624,Tyre,Gamla,Phoenician
625,Tyre,Gamla,Phoenician
626,Tyre,Gamla,Phoenician
627,Tyre,Gamla,Phoenician
628,Tyre,Gamla,Phoenician
629,Tyre,Gamla,Phoenician
630,Tyre,Gamla,Phoenician
631,Tyre,Gamla,Phoenician
632,Tyre,Gamla,Phoenician
633,Tyre,Gamla,Phoenician
634,Tyre,Gamla,Phoenician
635,Tyre,Gamla,Phoenician
636,Tyre,Gamla,Phoenician
637,Tyre,Gamla,Phoenician
638,Tyre,Gamla,Phoenician
639,Tyre,Gamla,Phoenician
640,Tyre,Gamla,Phoenician
641,Tyre,Gamla,Phoenician
642,Tyre,Gamla,Phoenician
643,Tyre,Gamla,Phoenician
644,Tyre,Gamla,Phoenician
645,Tyre,Gamla,Phoenician
646,Tyre,Gamla,Phoenician
647,Tyre,Gamla,Phoenician
648,Tyre,Gamla,Phoenician
649,Tyre,Gamla,Phoenician
